,ID,specz,zphot,u_flux,u_err,g_flux,g_err,r_flux,r_err,i_flux,i_err,z_flux,z_err,JUV_flux,JUV_err,KUV_flux,KUV_err,K_flux,K_err,ch1_flux,ch1_err,ch2_flux,ch2_err,flags,ima_flags
0,20,0.2562054991722107,-1.0,-0.0014184174360707402,0.0008213702822104096,-0.0019971420988440514,0.0017702745972201228,-0.0032306320499628782,0.0011971179628744721,-0.000705038895830512,0.0005933890352025628,-0.001081632450222969,0.00018902853480540216,0.07599001509172464,0.0043737760336400285,0.12156092786261573,0.004109779951300131,0.07528521701462165,0.003976001098945209,0.0032519761007279158,0.0006463476456701756,0.006907590664923191,0.0009061032324098051,0.0,0.0
1,211,0.17260687053203583,0.1301249173967604,0.03465091437101364,0.001142334658652544,0.0674988403916359,0.002197767375037074,0.09725290536880493,0.0031585325486958027,0.12537895143032074,0.004075630567967892,0.1281415969133377,0.004210450686514378,0.16121379117571152,0.003872607135747315,0.15248332415650137,0.0039214219449470455,0.18963829157523587,0.001914063434161903,0.11977807432413101,0.006480156909674406,0.0893961563706398,0.0052016545087099075,0.0,0.0
2,242,0.07931831532907485,0.12077409067083884,0.11604347825050354,0.0037746045272797346,0.28468573093414307,0.009200791828334332,0.42223691940307617,0.013635868206620216,0.5475128889083862,0.01767634227871895,0.6190714240074158,0.020010292530059814,0.7954316633844132,0.005204177076606859,0.8775745025946594,0.005355493282309039,0.8905888392364254,0.0033775925771177473,0.3572833240032196,0.01710358075797558,0.24354378879070282,0.011885391548275948,0.0,0.0
3,326,0.18592137098312378,0.19352714579432587,0.02154850959777832,0.0020312024280428886,0.04249933734536171,0.0013757438864558935,0.07341531664133072,0.0023995130322873592,0.10290402173995972,0.0033618651796132326,0.11259938776493073,0.0037326873280107975,0.13906150962651087,0.004000733248851093,0.16052254671288005,0.0038763841750051775,0.17865766568822122,0.0015199368666396391,0.107722707092762,0.0053458078764379025,0.09014152735471725,0.004713480360805988,2.0,0.0
4,462,0.11960711192750931,0.10375933807875742,0.03320623189210892,0.0011127652833238244,0.13771399855613708,0.004450701642781496,0.3508131206035614,0.011316132731735706,0.5580052733421326,0.017995677888393402,0.7241241335868835,0.023357681930065155,-99.0,-99.0,-99.0,-99.0,1.6838518309989554,0.002231901633261026,0.9350831508636475,0.04347676783800125,0.6931473016738892,0.03237082436680794,0.0,0.0
5,647,0.6447985768318176,0.7013636576854764,0.0012025689939036965,0.0001103660324588418,0.003400259418413043,0.00017505642608739436,0.01482823584228754,0.0005091869970783591,0.040645625442266464,0.0014493936905637383,0.06062818691134453,0.0021376777440309525,0.10891109978035053,0.004189956968214465,0.230463623823641,0.0035821110834764118,0.2421872103851554,0.0017526381502625324,0.24734368920326233,0.01235095877200365,0.16122213006019592,0.008230403065681458,0.0,0.0
6,1136,0.19229483604431152,-1.0,0.03712907060980797,0.0014589483616873622,0.13699842989444733,0.004509320016950369,0.3921733498573303,0.012704601511359215,0.6555291414260864,0.02120658941566944,0.873670220375061,0.028260108083486557,0.9340970451987275,,1.3120529286624008,,1.393429896210114,0.0037782154763231304,0.7241414785385132,0.03419438749551773,0.5736956596374512,0.02728898823261261,0.0,0.0
7,1248,0.04388934842944145,-1.0,0.10326524823904037,0.003339162329211831,0.38285937905311584,0.012345735915005207,0.8059123754501343,0.02598324418067932,1.206416368484497,0.03889461234211922,1.4974348545074463,0.04827896133065224,2.36327328991839,,2.542352844094072,,2.4593479662706237,0.005710212904595427,1.3330049514770508,0.061676084995269775,0.8285152316093445,0.03868546336889267,0.0,0.0
8,1706,0.4622502028942108,0.5557965577918395,0.0013856091536581516,0.0002509133773855865,0.00727733364328742,0.0005900843534618616,0.03745187073945999,0.0013754821848124266,0.08119107782840729,0.0028055203147232533,0.11149873584508896,0.0040584830567240715,0.13380226661543126,0.004032983501389762,0.19362844009959052,0.0037142853694726,0.2261989984469935,0.0022490944374555827,0.15628917515277863,0.008188745006918907,0.12035977095365524,0.006510491482913494,3.0,0.0
9,1780,0.45961594581604004,0.42132605678517454,0.003388251643627882,0.00040106335654854774,0.016342099756002426,0.000859525112900883,0.07822760939598083,0.002649933798238635,0.10731671750545502,0.0034961197525262833,0.14601998031139374,0.004791096784174442,0.22929371505798962,0.003585518698618302,0.40136705099189346,0.003560693681405054,0.43754696193293974,0.002420790045223698,0.2965637743473053,0.014360470697283745,0.24121664464473724,0.012013616040349007,0.0,0.0
10,1899,0.25353214144706726,0.29313176425283205,0.0038827552925795317,0.0001321093295700848,0.005947526078671217,0.00028198279323987663,0.01011702697724104,0.00046286877477541566,0.01245344989001751,0.0005314341397024691,0.01426438707858324,0.0007206511218100786,0.01707174173507776,0.0037409787648219,0.026218754711229777,0.004108303713631177,0.0233556268027879,0.000949249712499811,0.009585590101778507,0.0016530355205759406,0.009549431502819061,0.0015284526161849499,0.0,0.0
11,2392,0.5405694246292114,0.544518492845339,0.004729684442281723,0.00018127144721802324,0.011732885614037514,0.0003988949174527079,0.04271213710308075,0.0014495054492726922,0.07135454565286636,0.0023787713143974543,0.09142115712165833,0.003093090606853366,0.13339787941237483,0.004035485704416406,0.20667862459690578,0.0036615531374391917,0.2183177442732113,0.002368847106659277,0.17170579731464386,0.008749214000999928,0.14039964973926544,0.007456895895302296,2.0,0.0
